position,stat,bin_low,bin_high,threshold_observations,mean_probability,observed_rate
TE,receptions,0.4,0.5,806,0.4428456015102677,0.47146401985111663
TE,receptions,0.5,0.6,866,0.5368249023654792,0.5346420323325635
TE,receptions,0.6,0.7,850,0.6418760992769201,0.6552941176470588
TE,receptions,0.7,0.8,1132,0.755538076846319,0.7420494699646644
TE,receptions,0.8,0.9,869,0.8473194453471169,0.8653624856156502
TE,receptions,0.9,1.0,1032,0.9453340286898967,0.9437984496124031
TE,targets,0.0,0.1,11183,0.022195976748048102,0.023249575248144506
TE,targets,0.1,0.2,1931,0.1434429684583238,0.14603832211289489
TE,targets,0.2,0.3,1153,0.2524182185429891,0.23503902862098872
TE,targets,0.3,0.4,1539,0.34524187298565107,0.33853151397011044
TE,targets,0.4,0.5,832,0.44302645029389215,0.47596153846153844
TE,targets,0.5,0.6,1162,0.5535564183644878,0.5662650602409639
TE,targets,0.6,0.7,898,0.6536304375171108,0.6414253897550112
TE,targets,0.7,0.8,822,0.7455480919239195,0.745742092457421
TE,targets,0.8,0.9,1366,0.8546937246756784,0.8616398243045388
TE,targets,0.9,1.0,2254,0.9587886577424557,0.9649511978704526
WR,carries,0.0,0.1,34655,0.0052329296228461756,0.004357235608137354
WR,carries,0.1,0.2,491,0.16104160605178935,0.18737270875763748
WR,carries,0.2,0.3,819,0.25188930670658244,0.2612942612942613
WR,carries,0.3,0.4,183,0.3524590163934426,0.3989071038251366
WR,carries,0.4,0.5,164,0.42261567133943767,0.573170731707317
WR,receiving_tds,0.0,0.1,18140,0.008691169090902432,0.006835722160970232
WR,receiving_tds,0.1,0.2,3107,0.1460783548455048,0.13968458319922755
WR,receiving_tds,0.2,0.3,1110,0.2569483104366825,0.26036036036036037
WR,receiving_tds,0.3,0.4,318,0.3422762698760944,0.3522012578616352
WR,receiving_yards,0.0,0.1,30231,0.020007899308217093,0.017994773576792036
WR,receiving_yards,0.1,0.2,6769,0.14364905674638487,0.13089082582360761
WR,receiving_yards,0.2,0.3,4178,0.25123372069167876,0.24413595021541407
WR,receiving_yards,0.3,0.4,2652,0.34860044196569506,0.3416289592760181
WR,receiving_yards,0.4,0.5,2697,0.4563018833526115,0.4634779384501298
WR,receiving_yards,0.5,0.6,2282,0.5424628975573679,0.5363716038562665
WR,receiving_yards,0.6,0.7,1455,0.6476567227226542,0.6570446735395189
WR,receiving_yards,0.7,0.8,1749,0.7328050770350024,0.7352773013150372
WR,receiving_yards,0.8,0.9,1432,0.849820894968355,0.8526536312849162
WR,receiving_yards,0.9,1.0,1011,0.9405854536970402,0.9406528189910979
WR,receptions,0.0,0.1,23941,0.01824522660288492,0.015955891566768306
WR,receptions,0.1,0.2,3748,0.14984115559306052,0.14087513340448238
WR,receptions,0.2,0.3,3252,0.2545440985971321,0.24692496924969248
WR,receptions,0.3,0.4,2110,0.3542992552471225,0.3407582938388626
WR,receptions,0.4,0.5,1775,0.4537316924804642,0.4580281690140845
WR,receptions,0.5,0.6,2012,0.5524279571739,0.5621272365805169
WR,receptions,0.6,0.7,2184,0.6680357294975234,0.6611721611721612
WR,receptions,0.7,0.8,1639,0.7498363194476819,0.7724222086638194
WR,receptions,0.8,0.9,2322,0.8516214971055425,0.8695090439276486
WR,receptions,0.9,1.0,2397,0.9480600750938674,0.9553608677513559
WR,rushing_yards,0.0,0.1,53932,0.004103728011870737,0.002354817177186086
WR,rushing_yards,0.1,0.2,536,0.11961372539296872,0.10634328358208955
WR,targets,0.0,0.1,17126,0.023444565450600068,0.021254233329440618
WR,targets,0.1,0.2,4354,0.14664714311657512,0.13757464400551217
WR,targets,0.2,0.3,3138,0.2544916138895418,0.248565965583174
WR,targets,0.3,0.4,2444,0.35107334525939177,0.34901800327332244
WR,targets,0.4,0.5,2255,0.4514257721858402,0.4563192904656319
WR,targets,0.5,0.6,1811,0.5473848445545952,0.5599116510215351
WR,targets,0.6,0.7,2527,0.6519075709907747,0.6430550059358924
WR,targets,0.7,0.8,2156,0.7541512829837462,0.7625231910946196
WR,targets,0.8,0.9,3111,0.8548078781646095,0.8508518161362906
WR,targets,0.9,1.0,6458,0.9592439365426898,0.9633013316816352
