position,stat,threshold,games,brier,frequency_brier,mean_probability,observed_rate,eligible_test_games,evaluated_games
RB,receptions,8,2853,0.007464974139102951,0.007664299114663083,0.008698077328405256,0.0077111812127585,2853,2853
RB,receptions,10,2853,0.0013876152639514731,0.0014040402945453018,0.0032040644981735146,0.0014020329477742728,2853,2853
RB,receptions,12,2853,7.974361247667575e-06,2.5866019892693695e-06,0.002248027081128101,0.0,2853,2853
RB,receptions,15,2853,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063125,0.0,2853,2853
RB,rushing_tds,1,2848,0.15146255237652087,0.1654565556274588,0.20028043226697526,0.2089185393258427,2853,2848
RB,rushing_tds,2,2848,0.04067565386397873,0.04205246662972711,0.03478923252081079,0.04389044943820225,2853,2848
RB,rushing_tds,3,2848,0.005183201403263526,0.005239753186086558,0.007461084773601105,0.0052668539325842695,2853,2848
RB,rushing_tds,4,2848,0.0003565066561137492,0.0003510345229652052,0.0022315595953563035,0.00035112359550561797,2853,2848
RB,rushing_tds,5,2848,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063125,0.0,2853,2848
RB,rushing_yards,10,2850,0.13850009594797472,0.2242880278134752,0.6452445066153757,0.6603508771929825,2853,2850
RB,rushing_yards,25,2850,0.1606775050118536,0.24973256655357734,0.47676167162091276,0.4803508771929825,2853,2850
RB,rushing_yards,40,2850,0.15363653861533225,0.22778001046105428,0.3424549746459171,0.3508771929824561,2853,2850
RB,rushing_yards,50,2850,0.1434824583671959,0.20144598074297962,0.267390569446873,0.27964912280701754,2853,2850
RB,rushing_yards,60,2850,0.13031618875667883,0.1728203871780482,0.20697557848108644,0.22210526315789475,2853,2850
RB,rushing_yards,75,2850,0.10382705004805146,0.12525479455950955,0.1318622136737192,0.14666666666666667,2853,2850
RB,rushing_yards,90,2850,0.07655120378400998,0.08700114039959518,0.0829154281051466,0.09614035087719298,2853,2850
RB,rushing_yards,100,2850,0.060023110778568915,0.06619975976344378,0.06234656408463018,0.0712280701754386,2853,2850
RB,rushing_yards,125,2850,0.02805951175551488,0.029286239500614455,0.02584834178469429,0.030175438596491227,2853,2850
RB,rushing_yards,150,2850,0.012168195734642952,0.012476383298609115,0.011224573060558372,0.01263157894736842,2853,2850
RB,rushing_yards,175,2850,0.004852719374732899,0.004893131107377948,0.004097452934662236,0.004912280701754386,2853,2850
RB,rushing_yards,200,2850,0.002432289872483108,0.0024525495848408,0.0022136737191816754,0.002456140350877193,2853,2850
RB,targets,1,2853,0.1597119007680506,0.21906971516184207,0.6973244926073039,0.6820890290921837,2853,2853
RB,targets,2,2853,0.18232375772808454,0.25110918107686875,0.47630517739093775,0.4749386610585349,2853,2853
RB,targets,3,2853,0.16699079325997743,0.2202706391865426,0.3250009024713742,0.32351910269891343,2853,2853
